639-3	Language Name(s)	Scope	Language Type	Status
aam	Aramanik	Individual	Living	Deprecated
aay	Aariya	Individual	Living	Deprecated
acc	Cubulco Achí	Individual	Living	Deprecated
adp	Adap	Individual	Living	Deprecated
aex	Amerax	Individual	Living	Deprecated
agp	Paranan	Individual	Living	Deprecated
ahe	Ahe	Individual	Living	Deprecated
ais	Nataoran Amis	Individual	Living	Deprecated
aiz	Aari	Individual	Living	Deprecated
ajp	South Levantine Arabic	Individual	Living	Deprecated
ajt	Judeo-Tunisian Arabic	Individual	Living	Deprecated
akn	Amikoana	Individual	Living	Deprecated
amd	Amapá Creole	Individual	Living	Deprecated
aoh	Arma	Individual	Extinct	Deprecated
arf	Arafundi	Individual	Living	Deprecated
asd	Asas	Individual	Living	Deprecated
atf	Atuence	Individual	Living	Deprecated
aue	ǂKxʼauǁʼein	Individual	Living	Deprecated
auv	Auvergnat	Individual	Living	Deprecated
ayx	Ayi (China)	Individual	Living	Deprecated
ayy	Tayabas Ayta	Individual	Extinct	Deprecated
azr	Adzera	Individual	Living	Deprecated
baz	Tunen	Individual	Living	Deprecated
bbz	Babalia Creole Arabic	Individual	Living	Deprecated
bcx	Pamona	Individual	Living	Deprecated
bgh	Bogan	Individual	Living	Deprecated
bgm	Baga Mboteni	Individual	Living	Deprecated
bhk	Albay Bicolano	Individual	Living	Deprecated
bic	Bikaru	Individual	Living	Deprecated
bii	Bisu	Individual	Living	Deprecated
bij	Vaghat-Ya-Bijim-Legeri	Individual	Living	Deprecated
bjd	Bandjigali	Individual	Living	Deprecated
bjq	Southern Betsimisaraka Malagasy	Individual	Living	Deprecated
bkb	Finallig	Individual	Living	Deprecated
bke	Bengkulu	Individual	Living	Deprecated
blg	Balau	Individual	Living	Deprecated
blu	Hmong Njua	Individual	Living	Deprecated
bmy	Bemba (Democratic Republic of Congo)	Individual	Living	Deprecated
bnh	Banawá	Individual	Living	Deprecated
boc	Bakung Kenyah	Individual	Living	Deprecated
bpb	Barbacoas	Individual	Extinct	Deprecated
bqe	Navarro-Labourdin Basque	Individual	Living	Deprecated
bsd	Sarawak Bisaya	Individual	Living	Deprecated
bsz	Souletin Basque	Individual	Living	Deprecated
btb	Beti (Cameroon)	Individual	Living	Deprecated
btl	Bhatola	Individual	Living	Deprecated
bvs	Belgian Sign Language	Individual	Living	Deprecated
bwv	Bahau River Kenyah	Individual	Living	Deprecated
bxt	Buxinhua	Individual	Living	Deprecated
bxx	Borna (Democratic Republic of Congo)	Individual	Living	Deprecated
byu	Buyang	Individual	Living	Deprecated
byy	Buya	Individual	Living	Deprecated
cbe	Chipiajes	Individual	Extinct	Deprecated
cbh	Cagua	Individual	Extinct	Deprecated
cbm	Yepocapa Southwestern Cakchiquel	Individual	Living	Deprecated
cca	Cauca	Individual	Extinct	Deprecated
ccq	Chaungtha	Individual	Living	Deprecated
ccx	Northern Zhuang	Individual	Living	Deprecated
ccy	Southern Zhuang	Individual	Living	Deprecated
cdg	Chamari	Individual	Living	Deprecated
chs	Chumash	Individual	Extinct	Deprecated
cit	Chittagonian	Individual	Living	Deprecated
cjr	Chorotega	Individual	Extinct	Deprecated
cka	Khumi Awa Chin	Individual	Living	Deprecated
ckc	Northern Cakchiquel	Individual	Living	Deprecated
ckd	South Central Cakchiquel	Individual	Living	Deprecated
cke	Eastern Cakchiquel	Individual	Living	Deprecated
ckf	Southern Cakchiquel	Individual	Living	Deprecated
cki	Santa María De Jesús Cakchiquel	Individual	Living	Deprecated
ckj	Santo Domingo Xenacoj Cakchiquel	Individual	Living	Deprecated
ckk	Acatenango Southwestern Cakchiquel	Individual	Living	Deprecated
ckw	Western Cakchiquel	Individual	Living	Deprecated
cmk	Chimakum	Individual	Extinct	Deprecated
cnm	Ixtatán Chuj	Individual	Living	Deprecated
coy	Coyaima	Individual	Extinct	Deprecated
cqu	Chilean Quechua	Individual	Living	Deprecated
cru	Carútana	Individual	Extinct	Deprecated
cti	Tila Chol	Individual	Living	Deprecated
cug	Chungmboko	Individual	Living	Deprecated
cum	Cumeral	Individual	Extinct	Deprecated
cun	Cunén Quiché	Individual	Living	Deprecated
daf	Dan	Individual	Living	Deprecated
dap	Nisi (India)	Individual	Living	Deprecated
